Semana,# HISTORIA DE USUARIO,Rol,DESCRIPCION,Objetivo,Criterios de aceptación
1,1,Admin,Crear Categoria de inmuebles,"Yo como admin
necesito crear una Categoria de inmuebles
para poder relacionar y encontrar las casas con mayor facilidad","-Cada Categoria de inmueble: tiene 3 campos: id,nombre y descripcion
-el nombre de la categoria no se puede repetir
-todas las categoria deben tener una descripcion
-el tamaño maximo del nombre debe ser de 50 caracteres
-el tamaño maximo de la descripcion debe ser de 90 caracteres"
,2,Todos los roles,Listar Categoria de inmuebles,"Yo como todos los roles
necesito listar las Categoria de inmuebles
para poder seleccionar la categoria de casas que mas necesito","-se debe poder parametrizar si quiero traerme las categorias de casas
-este servicio debe estar paginado"
2,3,Admin,Crear ubicaciones,"Yo como admin
necesito crear ubicacion
para poder relacionar y encontrar las casas que yo quiero con mayor facilidad","-Cada ubicación tiene una ciudad, un departamento al que pertenece 
-el nombre del departamento no se puede repetir
-todas las ciudades y departamentos deben tener una descripcion
-el tamaño maximo del nombre de ciudad y departamento debe ser de 50 caracteres
-el tamaño maximo de la descripcion de ciudad y departamento debe ser de 120 caracteres"
,4,Todos los roles,Buscar ubicaciones,"Yo como todos los roles
necesito buscar las ubicaciones
para poder seleccionar la ubicaciones que mas necesite","- la busqueda debe retornar un listado de ubicaciones que coincidan con un texto ingresado, ya sea por nombre de ciudad o nombre de departamento, pero aqui solo se ingresa  un texto, para los dos.
- no debe discriminar entre mayusculas, minusculas, tildes, etc.
-se debe poder parametrizar si quiero traerme las ubicaciones ordenadas ascendentemente o descendentemente por el nombre de ciudad y/o departamento
-este servicio debe estar paginado"
,5,Admin,Crear usuario vendedor,"Yo como Administrador de la plataforma 
necesito poder crear en el sistema la cuenta para un vendedor
para poder administrar las casas y sus caracteristicas","1. Al crear una cuenta, se deben solicitar los siguientes campos obligatorios:
Nombre, Apellido, Documento De Identidad, celular, fechaNacimiento, correo y clave(encriptada con bcrypt), al almacenar la clave, debe ser cifrada, no al solicitar la data.
2. Se debe verificar estructura de email válida, el teléfono debe contener un máximo de 13 caracteres y puede contener el símbolo +. Ejemplo: +573005698325, El documento de identidad debe ser únicamente numérico.
3. El usuario quedara con el rol vendedor.
4. El usuario debe ser mayor de edad"
3,6,Vendedor,Pubicar casa,"Yo como vendedor
necesito publicar una casa
para que mas personas puedan verla","-cada casa tiene los sigueintes campos:id,nombre, descripcion, Categoria de inmueble, cantidad de cuartos, cantidad de baños, precio, ubicación (ciudad y departamento), fecha de publicación activa (los usuarios solo podran ver la casa, cuando se lista despues de la fecha de publicación, esta fecha no puede exeder un mes de la fecha actual), estado de la publicación (PUBLICADA, PUBLICACION_PAUSADA,TRASACCION_CURSO, TRANSACCION_FINALIZADA), fecha de la publicación
-las casas solo pueden tener una categoria de casa asociada 
"
,7,Todos los roles,listar casas,"Yo como todos los roles
necesito listar las casas
para encontrar la que mas se adecue a mis necesidades ","-se debe poder parametrizar si quiero listar las casas en orden descendente o ascendente, por la ubicación, Categoria de inmueble, cantidad de cuartos, cantidad de baños, precio maximo, precio minimo
-este servicio debe estar paginado
- solo se podran listar las casas cuya fecha de publicación sea mayor a la fecha actual"
,8,Todos los roles,Agregar Autenticacion al sistema,"Yo como admin/ vendedor / comprador /
necesito agregar la autenticacion al sistema
para poder acceder a las funcionalidades que le corresponden a mi rol y exponer mis servicios solo a usuarios logiados","1. El inicio de sesión es a través de correo y clave.
2. Se debe validar usuario y contraseña correcta.
3. El número de intentos debe ser ilimitado.
4. Una vez iniciada la sesión, se debe garantizar que con esa sesión iniciada, cada usuario tiene los permisos para realizar las acciones que le correspondan a su rol.
5. Agregar validacion de autenticacion a los siguientes endpoint:
    -si creo un categoria de casa, ubciaciones, validar que la persona que llamo el servicio sea un usuario admin.
    -si creo un usuario vendedor, validar que la persona que llamo el servicio sera usuario admin.
    -si publico una casa, validar que la persona que llamo el servicio sea un usuario vendedor



Nota: En esta versión de la aplicación, no está contemplada la recuperación de contraseña.
"
,9,Vendedor,Disponbilizar horarios de visitas,"Yo como vendedor
necesito disponibilizar horarios 
para que se les visibilize a los compradores","1. Cada horario disponible tiene los siguientes campos:vendedor_id, casa_id, fecha y hora de inicio, fecha y hora fin
3. Un vendedor puede registrar múltiples horarios de visitas para una casa específica.
4. No se pueden crear dos espacios en una misma fecha y hora por vendedor.
5. Solo se pueden registrar horarios dentro de los próximos 3 semanas.
6. Un vendedor solo puede disponibilizar horarios para sus propias casas."
,10,Todos los roles,Listar horario de visitas disponible,"Yo como todos los roles
necesito listar los horarios disponibles en un rango de tiempo
para poder agendar el que mas necesite","1. Se debe poder filtrar los horarios de visita, por 
- el rango de fecha y hora de inicio, fecha y hora de fin, 
- si la cantidad de persona agendadas es menor a 2
- dada una ubicacion
2. debe estar ordenado por la fecha y hora de inicio, en orden descendente
3. Este servicio debe estar paginado
4. no se mostraran los horarios cuya fecha de inicio sea menor a la fecha y hora actual, y que tengan ya 2 compradores agendados
"
,11,Comprador,Agendar visitas,"Yo como comprador
Necesito agendar una vista
Para ver la casa que quiero comprar","1. Cada Visita agendada tiene los siguientes campos: horario_disponible_id, comprador_email
2. En la misma casa, fecha y hora, maximo se pueden agendar maximo 2 compradores"
